	scenario_title	search_nums	image_path	target_price_buyer	target_price_seller	description_buyer	description_seller
120	Leather Sofa and Chair	226000000	furniture/6143865202_0.jpg	92	100	Nice quality leather sofa and chair with ottoman.  Must See! The sofa (78x36) was purchased at Costco, and chair purchased at Macy's.	Nice quality leather sofa and chair with ottoman.  Must See! The sofa (78x36) was purchased at Costco, and chair purchased at Macy's. The sofa is in good condition that has a small defect but repairable. The chair is in excellent condition. Need to sell to make room for a new baby addition to family.
19	COUCH/LOVE SEAT	219000000	furniture/6111333023_0.jpg	87	145	Bauhaun latta colored, micro fiber fabric couch and love seat set. Genty used, no dogs and non smokers. Cash Only / no scams / must pick up	Bauhaun latta colored, micro fiber fabric couch and love seat set. Genty used, no dogs and non smokers. Cash Only / no scams / must pick up Pics to follow** ~Farmhouse~Vintage~Salvage~ Macy's Poterey Barn Anthropology
275	COUCH/LOVE SEAT	219000000	furniture/6111333023_0.jpg	133	145	Bauhaun latta colored, micro fiber fabric couch and love seat set. Genty used, no dogs and non smokers. Cash Only / no scams / must pick up	Bauhaun latta colored, micro fiber fabric couch and love seat set. Genty used, no dogs and non smokers. Cash Only / no scams / must pick up Pics to follow** Macy's Poterey Barn Anthropology
740	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	700	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
718	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	500	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
671	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	500	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
674	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	900	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
676	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	900	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
678	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	500	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
692	Traditional Sofa / Game / Dining Table	218000000	furniture/6134073271_0.jpg	700	1000	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"	"Wonderful versatile table. Heavy solid wood table, which folds out from sofa to game table size, and comes with 4  extension leaves, and fold down leg for extra support. Beautiful rich dark walnut color with ball and claw feet. Also included is custom glass cut to fit game table  size. Sofa table measurement is 20""x 42"", game table measurement is 40"" x 42"", 4 extension leaves are 15"" each.  Non smoking home. Used with Century Town and Country chairs in another listing. Sorry  I do not have a picture of when it was used  as a dining room table.Used for staging.  Purchased at Thornton House Furniture in Lodi, Ca. Perfect like new condition"
1323	COOL -- OCCASIONAL BLUE GLASS TABLE --	215000000	furniture/6124692320_0.jpg	89	149	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1330	COOL -- OCCASIONAL BLUE GLASS TABLE --	215000000	furniture/6124692320_0.jpg	113	149	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1359	COOL -- OCCASIONAL BLUE GLASS TABLE --	215000000	furniture/6124692320_0.jpg	137	149	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT	HERE IS ONE VERY COOL OCCASIONAL BLUE GLASS TABLE -- THIS COOL TABLE HAS A GLASS TOP AS WELL AS THE BOTTOM -- ALSO THIS TABLE ADJUST UP AND DOWN -- OVERALL THIS COOL TABLE IS IN EXCELLENT CONDITION -- ONLY 149.00 -- THIS CAN BE SEEN AT YESTERYEARS MARKETPLACE -- CALL BOB AT THANK YOU
1663	Dresser	213000000	furniture/6142138114_0.jpg	47	95	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface.	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface. Drawers slide in and out very nicely. Wooden round knobs/pulls. Cash only
1692	Dresser	213000000	furniture/6142138114_0.jpg	85	95	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface.	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface. Drawers slide in and out very nicely. Wooden round knobs/pulls. Cash only
1689	Dresser	213000000	furniture/6142138114_0.jpg	66	95	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface.	Honey Maple dresser with 4 drawers and storage cabinet. Very good condition with minor usage on top surface. Drawers slide in and out very nicely. Wooden round knobs/pulls. Cash only
573	Patio Chairs	210000000	furniture/6144926267_0.jpg	105	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
613	Patio Chairs	210000000	furniture/6144926267_0.jpg	75	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
669	Patio Chairs	210000000	furniture/6144926267_0.jpg	135	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
650	Patio Chairs	210000000	furniture/6144926267_0.jpg	135	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
626	Patio Chairs	210000000	furniture/6144926267_0.jpg	75	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
634	Patio Chairs	210000000	furniture/6144926267_0.jpg	135	150	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions	2014 Hampton Bay Pembrey Patio Chairs  Rocker          150 ea. or 2 for 250 Chile Pepper Cushions Frame is Bronze/Brown Powder coated with coated wicker back. I have too much patio furniture for my deck Chairs located in Rossmoor - Walnut Creek
1684	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	67	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
1694	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	67	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
1664	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	52	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
1676	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	37	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
1674	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	37	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
1665	White Leather Love Seat	208000000	furniture/6145380253_0.jpg	52	75	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway.	Everything must go by noon Memorial Day. Near Piedmont Market - Super Easy elevator access from apartment to driveway. Buyers must be able to haul away. Cash only. This love seat has *no* rips or tears -- picture is a bit shaded -- it is white (not grey) -- this is a quality piece.
286	Black Stool Chair	203000000		6	10	--------------------------	-------------------------- You may text or message me at any time. Calling hours are 10 am to 4 pm Mon thru Fri.
241	Black Stool Chair	203000000		9	10	--------------------------	-------------------------- You may text or message me at any time. Calling hours are 10 am to 4 pm Mon thru Fri.
137	Black Stool Chair	203000000		7	10	--------------------------	-------------------------- You may text or message me at any time. Calling hours are 10 am to 4 pm Mon thru Fri.
239	Black Stool Chair	203000000		7	10	--------------------------	-------------------------- You may text or message me at any time. Calling hours are 10 am to 4 pm Mon thru Fri.
1346	Couch and love seat	202000000	furniture/6108854259_0.jpg	60	80	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain.	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain. Some zippers attaching the cushions to the frame are broken. Solid wood frame. pics coming
1343	Couch and love seat	202000000	furniture/6108854259_0.jpg	73	80	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain.	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain. Some zippers attaching the cushions to the frame are broken. Solid wood frame. pics coming
1317	Couch and love seat	202000000	furniture/6108854259_0.jpg	73	80	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain.	Couch and love seat from a non-smoking pets free house. Upholstery is clean and doesn't have any stain. Some zippers attaching the cushions to the frame are broken. Solid wood frame. pics coming
1196	Large Standing Desk	199000000	furniture/6144844219_0.jpg	140	200	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe.	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe. It's 7 feet long, 4 feet wide, and 3.5 feet tall. Will need a truck or large van to pick up.  We are in a warehouse with a large bay door so load in will be easy.
1192	Large Standing Desk	199000000	furniture/6144844219_0.jpg	180	200	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe.	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe. It's 7 feet long, 4 feet wide, and 3.5 feet tall. Will need a truck or large van to pick up.  We are in a warehouse with a large bay door so load in will be easy.
1162	Large Standing Desk	199000000	furniture/6144844219_0.jpg	100	200	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe.	Large standing desk.  Could also work as a bar or meeting table. Top is solid wood, base/legs constructed of galvanized pipe. It's 7 feet long, 4 feet wide, and 3.5 feet tall. Will need a truck or large van to pick up.  We are in a warehouse with a large bay door so load in will be easy.
1168	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	42	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1264	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	42	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1178	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	30	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1288	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	54	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1291	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	54	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1258	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	42	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
1283	Antique Oak Accent Table	193000000	furniture/6144976998_0.jpg	54	60	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf	This beautiful antique oak parlor table dates back to the late 1800's, and would be  a wonderful addition to any home or office. It has two levels, and could be used as an end table, a lamp table, or for any other purpose you may have in mind.  It is in excellent condition, with that beautiful dark brown antique oak color and patina.   It is sturdy, with all joints being solid and strong.  There are no marks, cracks or damage. ?  24 inch X 24 inch square top ?  16 inch X 18 inch lower shelf ?  27.5 inches high If you are looking for a beautiful piece of antique furniture as an accent in your home, this is the one for you. This item is located in Pleasanton.  No need to ask if it is still available.  Posting will be removed immediately when item is sold. Cash or PayPal only.  Please call, email or text me with questions, or to make plans to see this item.  Thanks for looking.
465	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	108	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
414	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	60	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
295	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	110	120	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap Thanks
444	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	108	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
135	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	91	120	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap Thanks
405	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	60	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
404	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	84	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
434	Stainless Architech lamps	183000000	furniture/6144572953_0.jpg	108	120	Two nice stainless architect lamps in great condition	Two nice stainless architect lamps in great condition 4ft tall extends another 2 ft neck Email me your phone number and I'll get back to you asap
